# CID resid DLMAGERR zHD HOST_LOGMASS STRETCH STRETCHERR AV resid2 DLMAGERR2
2008ar 0.24093190011873133 0.0120289 0.02578 10.002 1.169 0.00896705 0.108 0.14247190011872846 0.0113472
2008bc 0.0559595743469572 0.02148 0.0158 9.928 1.032 0.00594402 0.065 0.005749574346957331 0.0213281
2008bf -0.013430515494498252 0.00822624 0.02441 11.136 1.024 0.00549335 -0.043 -0.0333505154944973 0.0082469
2008bq -0.20912830844768138 0.021183 0.03537 10.918 1.113 0.0114387 0.221 -0.2620083084476832 0.0205634
2008gl 0.09802578054425481 0.0119595 0.03282 11.43 0.848 0.00436469 0.102 0.261845780544256 0.0121569
2008gp 0.006305381516057196 0.0186318 0.03162 10.9 0.963 0.00382054 0.043 0.04956538151605372 0.0186433
2008hj 0.19860396428647675 0.0111654 0.03637 10.46 1.076 0.00977833 0.024 0.16464396428648342 0.010932
2008hu -0.0051003894637560165 0.0197314 0.05062 10.49 0.778 0.00639124 0.061 0.1884796105362483 0.0190756
2008hv 0.02830029149068025 0.0067746 0.01337 10.74 0.837 0.00246058 -0.005 0.24294029149068308 0.00629159
2008ia 0.3298150527345953 0.0204711 0.02231 11.22 1.175 0.000252901 0.051 0.24030505273459823 0.0190133
2009D -0.07011803481493217 0.0100722 0.02519 10.75 1.162 0.011609 0.009 -0.16886803481492763 0.00917788
2009P 0.21578542651506183 0.0160775 0.02614 9.93 1.106 0.000106407 0.6 0.17873542651506114 0.0152721
2009Y -0.08465366699030596 0.0134036 0.01075 10.88 1.166 0.000115047 0.166 -0.202253666990309 0.011872
2009aa -0.12155516709646008 0.00651846 0.02826 10.43 0.907 0.00302207 0.134 -0.026535167096461976 0.00632828
2009ab 0.08923157684181149 0.0200716 0.01152 10.36 0.85 0.00380697 0.221 0.3334715768418093 0.0180155
2009ad -0.08297516709646402 0.0161071 0.02826 10.56 0.995 0.00593932 0.096 -0.07800516709646388 0.0160979
2009al 0.061279534501238686 0.00782362 0.02328 10.75 1.171 0.00127756 0.298 -0.048620465498757426 0.00684039
2009cz -0.10591905185414419 0.00885813 0.0225 11.06 1.042 0.00985688 0.122 -0.13269905185414643 0.00883123
2009ds -0.003024040914944237 0.00985211 0.02063 10.7 1.092 0.000197511 0.113 -0.06960404091493899 0.00926195
