JD Phase u uerr g gerr r rerr i ierr B Berr V Verr
2456289.60 +46.50 15.877 017 14.574 012 13.846 011 14.158 013 14.906 038 14.079 012
2456292.65 +49.55 15.950 016 14.642 011 13.960 010 14.299 012 14.963 027 14.184 011
2456293.69 +50.59 15.944 016 14.656 012 14.005 011 14.348 015 14.969 026 14.205 011
2456294.68 +51.58 15.958 015 14.687 009 14.040 009 14.407 011 14.999 026 14.245 011
2456295.66 +52.56 15.963 016 14.692 009 14.070 010 14.435 012 15.006 026 14.266 011
2456296.60 +53.50 15.988 016 14.718 010 14.088 011 14.476 012 15.016 025 14.294 013
2456297.67 +54.57 16.010 015 14.738 009 14.136 008 14.518 008 15.039 025 14.319 009
2456299.69 +56.59 16.041 016 14.774 009 14.207 009 14.608 008 15.066 024 14.374 009
2456305.60 +62.50 16.134 016 14.881 010 14.398 009 14.840 010 15.157 025 14.547 011
2456308.55 +65.45 16.188 017 14.928 013 14.496 014 14.940 015 15.205 027 14.623 013
